size, time,
1, 0.0003740951999999999754049906375286127513390965759754180908203125, 
2, 0.00002663780000000000100089832255623178980386001057922840118408203125, 
4, 0.00002500499999999999860907269610965641959410277195274829864501953125, 
8, 0.00003018329999999999949632234486074366941465996205806732177734375, 
16, 0.000030276500000000000569107261316759149849531240761280059814453125, 
32, 0.00003004330000000000083673450113064262723128194920718669891357421875, 
2, 0.0000277107999999999990285194650940781002645962871611118316650390625, 
4, 0.000028270600000000000004592159985605803740327246487140655517578125, 
8, 0.00002561140000000000012153784922919186328726937063038349151611328125, 
16, 0.00004632460000000000028240465521633950629620812833309173583984375, 
32, 0.0000249583000000000012415408978672104467477765865623950958251953125, 
64, 0.00002775739999999999956491192332208584048203192651271820068359375, 
4, 0.0000273842000000000011729513194058682756804046221077442169189453125, 
8, 0.00002411869999999999999670298456155848043636069633066654205322265625, 
16, 0.00002514490000000000043752119982531922914859023876488208770751953125, 
32, 0.0000248183999999999994130923941515476371932891197502613067626953125, 
64, 0.00002659110000000000024523473529658446068424382247030735015869140625, 
128, 0.0000332155000000000007209267904872973531382740475237369537353515625, 
8, 0.0000229056999999999999213622092764097715189564041793346405029296875, 
16, 0.00002257909999999999867766227457099859066147473640739917755126953125, 
32, 0.000022952300000000000457754667504417511736392043530941009521484375, 
64, 0.0000306031999999999986439465360366085633359034545719623565673828125, 
128, 0.0000327957000000000017925737283430720481192111037671566009521484375, 
256, 0.000039140300000000001999500565119660677737556397914886474609375, 
16, 0.00002467840000000000075350455042144659500991110689938068389892578125, 
32, 0.000026730999999999998685551449995045913965441286563873291015625, 
64, 0.00002589140000000000082884532570659530392731539905071258544921875, 
128, 0.0000318627000000000024245404295353267798418528400361537933349609375, 
256, 0.000039187000000000002755164152379308006857172586023807525634765625, 
512, 0.00006759750000000000458820481608057662015198729932308197021484375, 
32, 0.0000262645999999999992208059296228128687289427034556865692138671875, 
64, 0.0000268242999999999999776074954827009833024931140244007110595703125, 
128, 0.000030836400000000001764451085239926442227442748844623565673828125, 
256, 0.000037227600000000002507770380244522812063223682343959808349609375, 
512, 0.0000563544999999999972058010999642618799043702892959117889404296875, 
1024, 0.0000546751000000000010538465933240814820237574167549610137939453125, 
64, 0.00002463180000000000021711209219343885479247546754777431488037109375, 
128, 0.00002663780000000000100089832255623178980386001057922840118408203125, 
256, 0.0000302766000000000007883783903483987387517117895185947418212890625, 
512, 0.00003876709999999999683127638316904040038934908807277679443359375, 
1024, 0.0000542086000000000013698299439202088478850782848894596099853515625, 
2048, 0.00008406529999999999623432056505833998016896657645702362060546875, 
128, 0.000027804100000000000320575510581733169601648114621639251708984375, 
256, 0.0000306497999999999991803389942646163035533390939235687255859375, 
512, 0.00003890699999999999865972488688470320994383655488491058349609375, 
1024, 0.000056027999999999999569504083307691644222359172999858856201171875, 
2048, 0.00008747080000000000284642032166715353014296852052211761474609375, 
4096, 0.00014298560000000000197624416831132521110703237354755401611328125, 
256, 0.0000333555000000000027686464232345997515949420630931854248046875, 
512, 0.0000401199000000000019039263221554136862323503009974956512451171875, 
1024, 0.0000556548000000000011775434793914740794207318685948848724365234375, 
2048, 0.0000237919999999999985337319208245077106766984798014163970947265625, 
4096, 0.0000248183999999999994130923941515476371932891197502613067626953125, 
8192, 0.00002607789999999999980555449863306449742594850249588489532470703125, 
512, 0.00002514500000000000065679232885695881805077078752219676971435546875, 
1024, 0.0000257980999999999995367892802189402345902635715901851654052734375, 
2048, 0.00002416520000000000031382431375792663175161578692495822906494140625, 
4096, 0.00002561140000000000012153784922919186328726937063038349151611328125, 
