size,time
1,0.003939219209804942
2,0.002059179724310636
4,0.002046583926268863
8,0.002249516228052988
16,0.0017540815050765737
32,0.0017060308681023997
2,0.001546484092906605
4,0.0016407193227006116
8,0.0017078969122567393
16,0.0016561141869738914
32,0.0015740082441830748
64,0.001512895298128543
4,0.0023311556598052223
8,0.001845051157600492
16,0.0043833377185370954
32,0.0016486500103565435
64,0.0015432185156365186
128,0.0014709093046559665
8,0.0016150612155784866
16,0.001641185833739199
32,0.0019346212770086565
64,0.001586137531186263
128,0.0016673104518999116
256,0.0015819389318390067
16,0.0015408859604435984
32,0.0015996663513052067
64,0.0015306227175947429
128,0.0015782068435303345
256,0.0015978003071508637
512,0.003460112373178975
32,0.0017036983129094865
64,0.0017456843063820698
128,0.02408316585587049
256,0.0014751079040032367
512,0.0025182265862774833
1024,0.0033602790109219516
64,0.0016715090512471747
128,0.0015072971656655276
256,0.001462978617000038
512,0.0024990996336955312
1024,0.002535020983666522
2048,0.003050515681302046
128,0.0017573470823466636
256,0.0037684761696831215
512,0.0031802057500284614
1024,0.0028825717074117407
2048,0.006439251865577658
4096,0.003737686441136562
256,0.0019444180088189211
512,0.0026437180556566353
1024,0.00313961928967163
2048,0.01713028533681163
4096,0.003169942507179613
8192,0.003151282065636224
512,0.003223124765578206
1024,0.004732754486436647
2048,0.030743543953737018
4096,0.0050140606427029055
8192,0.004881571507745014
16384,0.007037319017042604
1024,0.0041057636505794914
2048,0.0033780064303881585
4096,0.0033070967525233586
8192,0.004871308264896151
16384,0.014364807900084542
32768,0.004121158514852785
2048,0.004399665604887526
4096,0.0029842711138231004
8192,0.003686370226892277
16384,0.003954614074078211
32768,0.0040063967993611005
65536,0.0041463501109363365
4096,0.0027188263328686846
8192,0.003914494124759971
16384,0.00406051207983682
32768,0.004001731688975219
65536,0.003966743361081382
131072,0.004007329821438199
8192,0.00251216194277587
16384,0.002650715721235375
32768,0.0035226248523492765
65536,0.025588130466343117
131072,0.023113289406653914
262144,0.0034722416601821737
2,0.0009540150739046904
4,0.0008765742414996724
8,0.0010393865939655744
16,0.0019308891886999913
32,0.0022980333760657112
64,0.0009722090044094744
4,0.0009348881213226967
8,0.001073441899782257
16,0.0009428188089786183
32,0.0008863709733100134
64,0.0008551147337248488
128,0.0009185602349722766
8,0.0009082969921234141
16,0.0010697098114735848
32,0.0011942682587754994
64,0.0010823056095153327
128,0.0010543149472002633
256,0.0013085634632286625
16,0.0012213258990134146
32,0.0010412526381198828
64,0.0010146615089206557
128,0.0009381536985927919
256,0.0009362876544384835
512,0.001231589141862277
32,0.001124758114026514
64,0.0009885368907598946
128,0.0009362876544384835
256,0.0010645781900491258
512,0.0009479504304030772
1024,0.0014443181754567047
64,0.000887303995387112
128,0.0012231919431677785
256,0.000985737824528432
512,0.0009073639700462599
1024,0.0016103961051926463
2048,0.001624857947388758
128,0.0009698764492165335
256,0.0010118624426891376
512,0.0009106295473162995
1024,0.0013962675384824874
2048,0.0014009326488683138
4096,0.001388803361865143
256,0.0008448514908759308
512,0.0009138951245864502
1024,0.001482572080620581
2048,0.0016994997135622025
4096,0.0018296562933272087
8192,0.0016136616824627414
512,0.0016575137200895984
1024,0.0015604794240641207
2048,0.0014489832858425311
4096,0.002152948443066016
8192,0.002276107357252255
16384,0.0024599127064545145
1024,0.0015194264526687817
2048,0.0016019989064981477
4096,0.0023204259059177446
8192,0.002338153325384007
16384,0.002368476542891962
32768,0.0023614788773131945
2048,0.002958146495662395
4096,0.0017256243317229636
8192,0.0017097629564111205
16384,0.002271908757905061
32768,0.0030547142806492955
65536,0.002639052945270781
4096,0.001691102514867704
8192,0.0016542481428195588
16384,0.002467843394110436
32768,0.0023932016279369916
65536,0.0025023652109655847
131072,0.0031853373714528788
